codigo,titulo,autor,genero,ano,editora,num_paginas
1,Harry Potter and the Philosopher's Stone,J.K. Rowling,Fantasia,1997,Bloomsbury,223
2,Harry Potter and the Chamber of Secrets,J.K. Rowling,Fantasia,1998,Bloomsbury,251
